filename,plate,mjd,fiberid,class,subclass,z,sn_median_all,sn_median_u,sn_median_g,sn_median_r,sn_median_i,sn_median_z,sn_pixel_median,plate_sn2
spec-0266-51630-0098.fits,266,51630,98,STAR,OB,7.26995e-05,23.093,16.412,25.6611,23.3596,17.9184,7.3597,22.9691,20.2378
spec-0267-51608-0271.fits,267,51608,271,STAR,OB,-0.000154912,12.5404,9.63708,16.1163,12.5058,8.19435,3.38643,12.5045,19.5308
spec-0289-51990-0204.fits,289,51990,204,STAR,OB,-0.000157028,17.2757,11.432,19.9435,17.5639,12.6052,5.02551,17.1651,13.5565
spec-0301-51942-0401.fits,301,51942,401,STAR,OB,-0.000570663,29.6791,18.9129,30.5632,31.8686,27.44,14.2898,29.6104,23.9925
spec-0301-51942-0431.fits,301,51942,431,STAR,OB,-3.57825e-05,52.1994,46.1639,53.6131,53.1939,46.7804,29.6335,52.143,23.9925
spec-0309-51994-0012.fits,309,51994,12,STAR,OB,3.8706e-05,15.2946,9.13109,17.9599,15.4227,9.74553,4.65147,14.9896,24.5701
spec-0309-51994-0570.fits,309,51994,570,STAR,OB,0.000132895,10.4075,7.30771,12.6,9.99554,7.24844,1.76356,10.3094,24.5701
spec-0310-51990-0393.fits,310,51990,393,STAR,OB,-0.000165448,10.7076,7.69361,12.5154,10.618,7.23519,2.9011,10.6356,18.0084
spec-0333-52313-0199.fits,333,52313,199,STAR,OB,5.81794e-05,14.1421,7.72562,15.702,14.1204,8.26292,3.14361,13.3674,15.9296
spec-0339-51692-0617.fits,339,51692,617,STAR,OB,0.00016789,15.5097,11.8368,17.8294,15.7981,10.9081,4.02373,15.3447,16.3028
spec-0340-51990-0025.fits,340,51990,25,STAR,OB,-8.73833e-05,12.0067,5.9535,13.6188,12.9161,9.43254,3.84053,11.9748,16.9917
spec-0349-51699-0564.fits,349,51699,564,STAR,OB,-0.00038736,26.8087,17.1243,29.2867,27.1853,19.2619,7.18794,26.4475,42.013
spec-0351-51695-0434.fits,351,51695,434,STAR,OB,-0.000210547,23.5396,13.9091,25.0999,24.8912,19.2349,7.90466,23.3975,17.151
spec-0354-51792-0233.fits,354,51792,233,STAR,OB,5.8666e-05,16.3633,10.1665,18.5886,17.064,11.7743,4.66307,16.1807,12.1005
spec-0362-51999-0264.fits,362,51999,264,STAR,OB,3.73853e-05,12.9657,7.89687,14.9731,13.1967,9.39351,3.93579,12.8801,22.4837
spec-0364-52000-0003.fits,364,52000,3,STAR,OB,-0.000119083,22.3635,10.513,22.9215,24.4397,21.5286,10.1891,22.2135,37.9586
spec-0375-52140-0345.fits,375,52140,345,STAR,OB,4.10584e-05,11.4109,5.48439,13.1349,12.1341,8.21562,3.26661,11.3353,16.6397
spec-0382-51816-0614.fits,382,51816,614,STAR,OB,2.87216e-05,12.9679,6.39669,14.0945,14.283,10.1606,3.97557,12.9038,15.9556
spec-0405-51816-0115.fits,405,51816,115,STAR,OB,-0.00020707,12.0997,8.19651,14.1635,12.3661,8.48755,3.1158,11.9968,15.9848
spec-0417-51821-0428.fits,417,51821,428,STAR,OB,1.94862e-05,27.0889,20.9166,29.3175,27.9682,21.1697,8.92042,27.0768,20.368
spec-0427-51900-0320.fits,427,51900,320,STAR,OB,0.0001104,17.3504,11.092,20.1319,18.0176,12.1498,4.89231,17.0674,23.5074
spec-0427-51900-0564.fits,427,51900,564,STAR,OB,-0.000189575,15.4598,11.6499,18.2965,15.1662,9.79823,3.93188,15.278,23.5074
spec-0429-51820-0311.fits,429,51820,311,STAR,OB,-0.000134283,30.2138,20.1718,32.8333,31.6655,23.2601,9.04054,30.0267,35.1438
spec-0430-51877-0013.fits,430,51877,13,STAR,OB,-0.000609079,24.406,16.2243,26.209,25.5393,20.483,8.78509,24.3919,13.8603
spec-0433-51873-0335.fits,433,51873,335,STAR,OB,-9.92762e-05,10.7911,8.57888,13.1079,10.3319,7.15011,2.69701,10.649,26.9567
spec-0433-51873-0379.fits,433,51873,379,STAR,OB,3.05833e-05,15.7589,11.5594,18.8152,15.216,10.6267,3.86756,15.535,26.9567
spec-0435-51882-0375.fits,435,51882,375,STAR,OB,-0.000299198,11.593,8.90342,14.0773,11.2996,7.56732,3.06987,11.5118,21.8444
spec-0437-51876-0586.fits,437,51876,586,STAR,OB,1.58142e-05,14.0914,11.4524,16.8852,13.1522,9.18881,3.53238,13.7855,22.0143
spec-0445-51873-0378.fits,445,51873,378,STAR,OB,-4.48061e-05,11.3983,8.90839,13.4291,10.8633,7.76582,3.27913,11.3021,19.9888
spec-0457-51901-0622.fits,457,51901,622,STAR,OB,0.000120696,17.2529,10.829,18.9734,18.1342,13.2553,5.54159,17.158,18.2501
spec-0467-51901-0150.fits,467,51901,150,STAR,OB,0.000339606,13.0853,6.97166,14.4147,13.8111,10.2467,3.94819,12.9283,17.8977
spec-0470-51929-0442.fits,470,51929,442,STAR,OB,9.57244e-05,17.0247,11.1373,19.7147,17.5823,12.274,5.31245,16.9595,20.0616
spec-0472-51955-0595.fits,472,51955,595,STAR,OB,0.000426096,10.5601,7.83872,12.6422,10.5699,7.26379,2.82803,10.5396,15.6903
spec-0473-51929-0627.fits,473,51929,627,STAR,OB,1.4855e-05,14.9591,8.88272,16.6091,15.4313,10.8871,4.11551,14.5678,26.7806
spec-0474-52000-0388.fits,474,52000,388,STAR,OB,0.00013342,12.4643,10.2342,14.7903,12.3411,8.65059,3.8392,12.3354,15.0512
spec-0476-52314-0553.fits,476,52314,553,STAR,OB,-1.60729e-05,16.2221,12.0645,18.8067,16.1352,11.5106,4.59749,16.155,18.4924
spec-0477-52026-0147.fits,477,52026,147,STAR,OB,9.86661e-05,16.8089,11.6995,19.3225,16.9729,12.4246,4.59378,16.7161,14.7129
spec-0481-51908-0513.fits,481,51908,513,STAR,OB,0.000153668,26.5278,22.6625,30.1946,26.0388,17.9404,7.38199,26.2544,20.7228
spec-0489-51930-0449.fits,489,51930,449,STAR,OB,-0.000126473,28.1415,23.64,32.3047,27.8464,19.8129,7.68377,28.0658,18.5924
spec-0490-51929-0176.fits,490,51929,176,STAR,OB,0.000101113,13.9282,8.55268,16.5531,13.0737,9.11559,4.9726,13.7211,23.1487
spec-0493-51957-0437.fits,493,51957,437,STAR,OB,7.06647e-05,30.0066,16.8775,31.911,31.4791,24.926,11.1411,29.9509,18.7743
spec-0515-52051-0089.fits,515,52051,89,STAR,OB,9.46804e-05,14.8448,9.75197,17.461,15.2918,10.0868,3.65222,14.6975,17.7467
spec-0520-52288-0570.fits,520,52288,570,STAR,OB,-0.000107444,15.5467,10.7713,18.1441,15.39,10.6194,4.29893,15.4425,27.7197
spec-0530-52026-0467.fits,530,52026,467,STAR,OB,-1.28395e-05,15.0708,10.535,17.321,14.8856,10.4803,4.45108,14.9665,17.6624
spec-0545-52202-0218.fits,545,52202,218,STAR,OB,8.2221e-05,21.7031,16.4365,25.2802,21.8302,15.407,6.24673,21.5855,17.6579
spec-0548-51986-0110.fits,548,51986,110,STAR,OB,-0.000294331,11.0157,7.48225,13.1523,10.9579,7.57756,3.08509,10.8188,42.2231
spec-0552-51992-0115.fits,552,51992,115,STAR,OB,-9.49241e-05,28.1182,19.6233,32.2894,28.1324,19.4584,7.44284,27.6748,33.0206
